0.0	-335797.99800036254	245578.89007436778	2995.0
41.73851453441474	-335826.3437887093	245609.52697823453	2996.0
83.47702906882948	-335854.68957705604	245640.16388210127	2995.0
125.21554360324421	-335883.0353654028	245670.80078596802	2995.0
161.48957719651227	-335902.1219697628	245701.6472938276	2996.0
197.76361078978033	-335921.2085741227	245732.49380168723	2994.0
234.03764438304842	-335940.29517848266	245763.34030954682	2994.0
270.31167797631645	-335959.38178284257	245794.18681740644	2992.0
306.58571156958453	-335978.46838720253	245825.03332526603	2990.0
342.8597451628526	-335997.55499156244	245855.87983312565	2991.0
379.1337787561207	-336016.6415959224	245886.72634098525	2990.0
421.42975022654633	-336038.89670499443	245922.69381688806	2987.0
463.72572169697196	-336061.15181406646	245958.66129279087	2991.0
473.1616427381407	-336067.8687261812	245965.28848658144	2991.0
484.60107081522426	-336077.27331726777	245971.80110366104	2991.0
530.6134049216054	-336118.82676216576	245991.5608128448	2990.0
552.0209984839385	-336137.4703052803	246002.08237937582	2991.0
587.8017775882067	-336166.32980281406	246023.23405910598	2992.0
614.2965357885505	-336186.7121315596	246040.1613414337	2990.0
640.9630296196419	-336206.4131070267	246058.13280378067	2990.0
691.9409769740201	-336242.20877918665	246094.42909795907	2989.0
742.9189243283984	-336278.0044513466	246130.72539213745	2989.0
761.3098025174056	-336291.8734365428	246142.80329138317	2989.0
773.1790081260884	-336302.2999099151	246148.4748603723	2988.0
779.0459630835865	-336307.95537361957	246150.03591474693	2988.0
790.7330688211044	-336319.6016136273	246151.01240550604	2988.0
806.1193831512339	-336334.8781770321	246149.17793577234	2988.0
830.9416740095664	-336347.5849211642	246170.50127455915	2988.0
837.0293753192706	-336353.670697983	246170.65433581464	2988.0
848.6482025746141	-336362.4024559924	246178.31942217128	2991.0
865.3798924143929	-336372.82859867124	246191.40548321864	2990.0
886.2580788034866	-336384.4441752444	246208.75417330666	2990.0
930.2845933848216	-336406.40840633377	246246.91051666965	2988.0
970.0283140989553	-336424.44905782933	246282.3237660238	2985.0
992.837563120799	-336434.2304658836	246302.9292482413	2983.0
1061.4799155184996	-336490.2803764754	246342.5547459081	2984.0
1098.6082812297993	-336525.9013060306	246353.02684779937	2989.0
1135.7366469410988	-336561.52223558567	246363.4989496906	2990.0
1172.8650126523985	-336597.14316514076	246373.97105158187	2990.0
1209.9933783636982	-336632.7640946959	246384.44315347314	2989.0
1240.7241874898682	-336663.16396357585	246388.94099758263	2990.0
1271.454996616038	-336693.5638324557	246393.43884169208	2990.0
1302.1858057422078	-336723.96370133566	246397.93668580157	2989.0
1332.9166148683778	-336754.3635702156	246402.43452991106	2989.0
1363.6474239945478	-336784.76343909546	246406.9323740205	2987.0
1394.3782331207176	-336815.1633079754	246411.43021813	2985.0
