date,year,value
Mar 1, 2000,137.461
Apr 1, 2000,217.884
May 1, 2000,327.988
Jun 1, 2000,308.977
Jul 1, 2000,246.63
Aug 1, 2000,171.683
Sep 1, 2000,307.469
Oct 1, 2000,256.655
Nov 1, 2000,136.737
Dec 1, 2000,130.271
Jan 1, 2001,81.148
Feb 1, 2001,65.278
Mar 1, 2001,142.51
Apr 1, 2001,147.512
May 1, 2001,209.855
Jun 1, 2001,136.372
Jul 1, 2001,192.881
Aug 1, 2001,36.685
Sep 1, 2001,222.796
Oct 1, 2001,244.87
Nov 1, 2001,173.676
Dec 1, 2001,124.842
Jan 1, 2002,41.144
Feb 1, 2002,54.017
Mar 1, 2002,120.456
Apr 1, 2002,264.143
May 1, 2002,254.434
Jun 1, 2002,139.528
Jul 1, 2002,128.385
Aug 1, 2002,90.27
Sep 1, 2002,169.455
Oct 1, 2002,248.21
Nov 1, 2002,135.291
Dec 1, 2002,116.741
Jan 1, 2003,23.031
Feb 1, 2003,70.016
Mar 1, 2003,134.118
Apr 1, 2003,223.416
May 1, 2003,220.075
Jun 1, 2003,259.451
Jul 1, 2003,111.911
Aug 1, 2003,167.809
Sep 1, 2003,191.011
Oct 1, 2003,272.148
Nov 1, 2003,198.744
Dec 1, 2003,101.648
Jan 1, 2004,83.889
Feb 1, 2004,89.821
Mar 1, 2004,106.408
Apr 1, 2004,251.306
May 1, 2004,294.954
Jun 1, 2004,95.377
Jul 1, 2004,235.453
Aug 1, 2004,138.08
Sep 1, 2004,254.43
Oct 1, 2004,284.231
Nov 1, 2004,224.761
Dec 1, 2004,81.673
Jan 1, 2005,95.461
Feb 1, 2005,40.932
Mar 1, 2005,129.794
Apr 1, 2005,237.43
May 1, 2005,375.195
Jun 1, 2005,239.969
Jul 1, 2005,152.852
Aug 1, 2005,113.013
Sep 1, 2005,211.538
Oct 1, 2005,277.96
Nov 1, 2005,212.225
Dec 1, 2005,102.846
Jan 1, 2006,94.816
Feb 1, 2006,57.888
Mar 1, 2006,199.297
Apr 1, 2006,310.132
May 1, 2006,281.305
Jun 1, 2006,183.734
Jul 1, 2006,123.947
Aug 1, 2006,156.22
Sep 1, 2006,222.542
Oct 1, 2006,261.751
Nov 1, 2006,247.523
Dec 1, 2006,112.052
Jan 1, 2007,49.681
Feb 1, 2007,19.896
Mar 1, 2007,150.738
Apr 1, 2007,281.336
May 1, 2007,346.987
Jun 1, 2007,92.971
Jul 1, 2007,176.992
Aug 1, 2007,235.225
Sep 1, 2007,232.524
Oct 1, 2007,323.829
Nov 1, 2007,157.692
Dec 1, 2007,154.115
Jan 1, 2008,80.642
Feb 1, 2008,140.704
Mar 1, 2008,217.566
Apr 1, 2008,212.884
May 1, 2008,369.829
Jun 1, 2008,253.8
Jul 1, 2008,272.13
Aug 1, 2008,286.45
Sep 1, 2008,236.124
Oct 1, 2008,269.751
Nov 1, 2008,256.137
Dec 1, 2008,73.266
Jan 1, 2009,109.714
Feb 1, 2009,89.262
Mar 1, 2009,153.635
Apr 1, 2009,212.116
May 1, 2009,226.301
Jun 1, 2009,206.751
Jul 1, 2009,108.561
Aug 1, 2009,137.531
Sep 1, 2009,99.554
Oct 1, 2009,234.803
Nov 1, 2009,190.194
Dec 1, 2009,66.007
Jan 1, 2010,31.401
Feb 1, 2010,44.328
Mar 1, 2010,107.347
Apr 1, 2010,245.782
May 1, 2010,278.836
Jun 1, 2010,263.35
Jul 1, 2010,296.341
Aug 1, 2010,210.972
Sep 1, 2010,382.153
Oct 1, 2010,283.244
Nov 1, 2010,334.851
Dec 1, 2010,194.183
Jan 1, 2011,72.997
Feb 1, 2011,123.966
Mar 1, 2011,193.935
Apr 1, 2011,472.833
May 1, 2011,215.005
