date,year,value
Nov 1, 1997,184.242
Dec 1, 1997,37.463
Jan 1, 1998,28.149
Feb 1, 1998,62.203
Mar 1, 1998,113.779
Apr 1, 1998,195.325
May 1, 1998,323.621
Jun 1, 1998,119.185
Jul 1, 1998,168.252
Aug 1, 1998,154.647
Sep 1, 1998,227.868
Oct 1, 1998,228.677
Nov 1, 1998,187.132
Dec 1, 1998,162.974
Jan 1, 1999,82.227
Feb 1, 1999,209.986
Mar 1, 1999,152.62
Apr 1, 1999,229.137
May 1, 1999,252.529
Jun 1, 1999,256.832
Jul 1, 1999,118.346
Aug 1, 1999,123.391
Sep 1, 1999,316.988
Oct 1, 1999,303.69
Nov 1, 1999,196.221
Dec 1, 1999,116.275
Jan 1, 2000,52.245
Feb 1, 2000,108.982
Mar 1, 2000,122.66
Apr 1, 2000,184.237
May 1, 2000,299.864
Jun 1, 2000,238.879
Jul 1, 2000,178.885
Aug 1, 2000,155.83
Sep 1, 2000,274.885
Oct 1, 2000,217.977
Nov 1, 2000,107.874
Dec 1, 2000,112.362
Jan 1, 2001,63.446
Feb 1, 2001,54.005
Mar 1, 2001,144.445
Apr 1, 2001,110.938
May 1, 2001,183.805
Jun 1, 2001,111.589
Jul 1, 2001,146.915
Aug 1, 2001,39.477
Sep 1, 2001,225.602
Oct 1, 2001,242.405
Nov 1, 2001,178.938
Dec 1, 2001,113.629
Jan 1, 2002,37.366
Feb 1, 2002,57.01
Mar 1, 2002,125.821
Apr 1, 2002,270.087
May 1, 2002,235.276
Jun 1, 2002,138
Jul 1, 2002,91.019
Aug 1, 2002,79.988
Sep 1, 2002,156.221
Oct 1, 2002,240.432
Nov 1, 2002,124.805
Dec 1, 2002,115.476
Jan 1, 2003,16.816
Feb 1, 2003,88.366
Mar 1, 2003,105.408
Apr 1, 2003,187.877
May 1, 2003,218.052
Jun 1, 2003,221.141
Jul 1, 2003,110.726
Aug 1, 2003,159.042
Sep 1, 2003,189.211
Oct 1, 2003,274.621
Nov 1, 2003,201.578
Dec 1, 2003,88.977
Jan 1, 2004,91.871
Feb 1, 2004,89.734
Mar 1, 2004,91.233
Apr 1, 2004,222.415
May 1, 2004,287.786
Jun 1, 2004,81.096
Jul 1, 2004,222.368
Aug 1, 2004,117.956
Sep 1, 2004,233.425
Oct 1, 2004,285.066
Nov 1, 2004,215.205
Dec 1, 2004,60.992
Jan 1, 2005,82.655
Feb 1, 2005,33.043
Mar 1, 2005,101.855
Apr 1, 2005,186.084
May 1, 2005,337.562
Jun 1, 2005,157.571
Jul 1, 2005,128.768
Aug 1, 2005,96.116
Sep 1, 2005,176.505
Oct 1, 2005,289.661
Nov 1, 2005,200.571
Dec 1, 2005,101.831
Jan 1, 2006,84.03
Feb 1, 2006,60.245
Mar 1, 2006,187.875
Apr 1, 2006,294.43
May 1, 2006,275.923
Jun 1, 2006,173.456
Jul 1, 2006,97.96
Aug 1, 2006,126.782
Sep 1, 2006,200.179
Oct 1, 2006,225.025
Nov 1, 2006,211.535
Dec 1, 2006,108.827
Jan 1, 2007,37.636
Feb 1, 2007,21.391
Mar 1, 2007,142.546
Apr 1, 2007,250.961
May 1, 2007,350.553
Jun 1, 2007,97.715
Jul 1, 2007,160.702
Aug 1, 2007,214.892
Sep 1, 2007,206.348
Oct 1, 2007,320.185
Nov 1, 2007,144.824
Dec 1, 2007,118.669
Jan 1, 2008,86.221
Feb 1, 2008,141.02
Mar 1, 2008,191.498
Apr 1, 2008,202.169
May 1, 2008,366.847
Jun 1, 2008,236.882
Jul 1, 2008,242.604
Aug 1, 2008,269.527
Sep 1, 2008,252.93
Oct 1, 2008,266.657
Nov 1, 2008,255.799
Dec 1, 2008,59.008
Jan 1, 2009,109.545
Feb 1, 2009,87.814
Mar 1, 2009,193.21
Apr 1, 2009,188.826
May 1, 2009,210.148
Jun 1, 2009,202.568
Jul 1, 2009,98.77
Aug 1, 2009,125.865
Sep 1, 2009,95.583
Oct 1, 2009,237.586
Nov 1, 2009,187.741
Dec 1, 2009,70.38
Jan 1, 2010,32.426
Feb 1, 2010,41.233
Mar 1, 2010,74.448
Apr 1, 2010,236.297
May 1, 2010,269.834
Jun 1, 2010,235.064
Jul 1, 2010,256.582
Aug 1, 2010,204.052
Sep 1, 2010,340.09
Oct 1, 2010,250.134
Nov 1, 2010,301.025
Dec 1, 2010,166.096
Jan 1, 2011,63.457
Feb 1, 2011,132.019
Mar 1, 2011,175.49
Apr 1, 2011,373.326
May 1, 2011,218.43
Jun 1, 2011,216.742
Jul 1, 2011,167.218
Aug 1, 2011,157.097
Sep 1, 2011,206.385
Oct 1, 2011,286.496
Nov 1, 2011,258.719
Dec 1, 2011,172.511
Jan 1, 2012,95.264
Feb 1, 2012,53.29
Mar 1, 2012,148.232
Apr 1, 2012,346.211
May 1, 2012,213.905
Jun 1, 2012,111.634
