date,year,value
Nov 1, 1997,235.255
Dec 1, 1997,57.933
Jan 1, 1998,33.754
Feb 1, 1998,111.079
Mar 1, 1998,147.133
Apr 1, 1998,252.442
May 1, 1998,381.269
Jun 1, 1998,175.44
Jul 1, 1998,240.164
Aug 1, 1998,239.135
Sep 1, 1998,294.401
Oct 1, 1998,285.197
Nov 1, 1998,292.134
Dec 1, 1998,221.358
Jan 1, 1999,149.789
Feb 1, 1999,280.852
Mar 1, 1999,203.83
Apr 1, 1999,301.155
May 1, 1999,247.225
Jun 1, 1999,309.588
Jul 1, 1999,143.013
Aug 1, 1999,157.609
Sep 1, 1999,359.746
Oct 1, 1999,343.97
Nov 1, 1999,284.103
Dec 1, 1999,319.39
Jan 1, 2000,83.251
Feb 1, 2000,164.557
Mar 1, 2000,174.954
Apr 1, 2000,250.283
May 1, 2000,370.006
Jun 1, 2000,331.184
Jul 1, 2000,247.491
Aug 1, 2000,184.812
Sep 1, 2000,326.269
Oct 1, 2000,280.59
Nov 1, 2000,172.054
Dec 1, 2000,161.728
Jan 1, 2001,108.551
Feb 1, 2001,84.454
Mar 1, 2001,177.537
Apr 1, 2001,170.256
May 1, 2001,229.783
Jun 1, 2001,133.086
Jul 1, 2001,196.253
Aug 1, 2001,42.804
Sep 1, 2001,264.005
Oct 1, 2001,265.852
Nov 1, 2001,235.175
Dec 1, 2001,167.474
Jan 1, 2002,62.994
Feb 1, 2002,75.692
Mar 1, 2002,152.804
Apr 1, 2002,307.607
May 1, 2002,277.86
Jun 1, 2002,151.724
Jul 1, 2002,138.604
Aug 1, 2002,93.533
Sep 1, 2002,173.966
Oct 1, 2002,288.754
Nov 1, 2002,168.736
Dec 1, 2002,164.517
Jan 1, 2003,37.951
Feb 1, 2003,107.129
Mar 1, 2003,136.23
Apr 1, 2003,257.31
May 1, 2003,259.21
Jun 1, 2003,290.931
Jul 1, 2003,149.369
Aug 1, 2003,192.717
Sep 1, 2003,206.22
Oct 1, 2003,325.005
Nov 1, 2003,255.9
Dec 1, 2003,142.29
Jan 1, 2004,120.951
Feb 1, 2004,123.874
Mar 1, 2004,111.904
Apr 1, 2004,270.171
May 1, 2004,317.737
Jun 1, 2004,89.999
Jul 1, 2004,242.172
Aug 1, 2004,121.3
Sep 1, 2004,263.3
Oct 1, 2004,335.888
Nov 1, 2004,249.383
Dec 1, 2004,112.919
Jan 1, 2005,126.509
Feb 1, 2005,53.087
Mar 1, 2005,164.373
Apr 1, 2005,278.629
May 1, 2005,413.126
Jun 1, 2005,226.256
Jul 1, 2005,160.208
Aug 1, 2005,135.737
Sep 1, 2005,211.58
Oct 1, 2005,322.256
Nov 1, 2005,304.705
Dec 1, 2005,152.638
Jan 1, 2006,139.384
Feb 1, 2006,93.643
Mar 1, 2006,282.882
Apr 1, 2006,342.304
May 1, 2006,315.49
Jun 1, 2006,225.163
Jul 1, 2006,144.162
Aug 1, 2006,156.527
Sep 1, 2006,226.829
Oct 1, 2006,289.948
Nov 1, 2006,316.714
Dec 1, 2006,164.032
Jan 1, 2007,61.749
Feb 1, 2007,35.094
Mar 1, 2007,176.672
Apr 1, 2007,378.523
May 1, 2007,379.17
Jun 1, 2007,113.705
Jul 1, 2007,223.669
Aug 1, 2007,277.228
Sep 1, 2007,231.035
Oct 1, 2007,371.155
Nov 1, 2007,230.848
Dec 1, 2007,214.929
